编号	主怪	位置0	位置1	位置2	位置3	位置4	位置5	位置6	位置7	位置8	战斗力	金币	君主经验	武将经验	士气
Id	Boss	Pos0	Pos1	Pos2	Pos3	Pos4	Pos5	Pos6	Pos7	Pos8	FightForce	Gold	Xp	HeroXp	InitPower
1	325006		325006								2016	200	25	25	202
2	226006				226006						2025	202	30	30	202
3	325007					325007					2091	204	35	35	204
4	125008			125008							2123	206	45	45	207
5	425009							425009			2161	208	48	48	209
6	125010	125010									2455	210	50	50	212
7	226010			226010							2514	212	50	50	212
8	427010		427010								2423	214	50	50	212
9	125011				125011	210007					3915	216	70	70	214
10	126011			111007					126011		3910	218	90	90	214
11	125012		125012						210008		3788	220	100	100	216
12	426012	426012				111008					3706	222	110	110	216
13	125013			125013	210009						3746	224	120	120	219
14	326013					326013		111009			3770	226	130	130	219
15	225014		310010				225014				4070	228	135	135	221
16	425015				110011	425015					3946	230	140	140	224
17	326015					326015			311011		4096	232	145	145	224
18	325016				325016				410016		4155	234	150	150	226
19	425017		425017							310017	4175	236	155	155	228
20	325018				210018				325018		4774	238	160	160	231
21	226018			111018					226018		4774	240	165	165	231
22	227019		227019							212019	4848	248	185	185	233
23	325020	310020								325020	5294	250	190	190	236
24	126020			126020						511020	5236	252	195	195	236
25	427021		427021	412021	212020						7681	260	215	215	200
26	527022	527022			212022	112016					7594	266	230	230	240
27	228022	113022	228022			413020					8158	266	230	230	200
28	329022		114022				514020	329022			8244	266	230	230	200
29	427022	427022			512022	312023					8483	266	230	230	200
30	126023	111023				511018				126023	8411	270	240	240	243
31	125023		125023	110023	310017						8207	268	235	235	243
32	427023			212023				412021	427023		8584	270	240	240	200
33	225024				310024		225024		410019		9217	272	245	245	245
34	128023	313023		128023			213021				8935	270	240	240	200
35	226024	111024		211020		226024					9556	274	250	250	245
36	327024	327024		212024		512022					9797	274	250	250	200
37	428024	428024		113024		213023					9851	274	250	250	200
38	325025		110025			410021			325025		10827	276	255	255	248
39	426025				111025	511022	426025				10729	278	260	260	248
40	327025	212025			212025				327025		12385	278	260	260	200
41	325026			310026		110023	325026				11738	280	265	265	250
42	126026	111026			111024			126026			12073	282	270	270	250
43	425027	310027	110025						425027		12740	284	275	275	252
44	226027			311027		226027	511026				13216	286	280	280	252
45	325028	325028	110028	110027	510011						16358	288	285	285	255
46	126028			111028				126028	411027	311013	16196	290	290	290	255
47	225029			210029		225029			510028	510015	17469	292	295	295	257
48	326029			211029		311028		326029	211017		17797	294	300	300	257
49	425030				425030		310030		410029	510019	18052	296	305	305	260
50	126030		126030			211030		411029	511021		18853	298	310	310	260
51	225031			310031	210031	225031	510023				20709	300	315	315	262
52	326031	326031	211031					111031		511025	21704	302	320	320	262
53	425032			110032		510032	425032			510027	23140	304	325	325	264
54	326032		326032	411032	511032			211029			24349	306	330	330	264
55	125033	125033					210033		410033	510030	25473	308	335	335	267
56	326033			411033		411033		211031		326033	25746	310	340	340	267
57	525034	110034	410034				525034		210032		27078	312	345	345	269
58	326034	311034			311034		311033	326034			28249	314	350	350	269
59	525035		210035		525035	210035		510034	410017		30547	316	355	355	272
60	326035	311035	311035	311035				326035		311019	31854	318	360	360	272
61	125036	110036		310036	125036		210036	410021			34862	320	365	365	274
62	326036	111036		326036			411036	411036	211023		34614	322	370	370	274
63	425037	110037		110037		410037		410025		425037	35851	324	375	375	276
64	126037		111037	126037			311037		211037	411027	37492	326	380	380	276
65	225038	225038		110038	210038		510038		410029		40049	328	385	385	279
66	126038	126038	111038		511038	411038		211031			40524	330	390	390	279
67	425039		310039	110039	410039			425039	410033		41387	400	395	395	281
68	126039	311039	111039	126039	211039		411035				43266	400	400	400	281
69	125040	110040	125040	310040		210040		210037	210014		52730	500	405	405	284
70	126040	311040	126040	111040		411040		411039		511017	52526	500	410	410	284
71	325041	110041	325041	110041				210041	210041	410020	56687	600	415	413	286
72	426041	111041	111041		311041	211041	211023	426041			56498	600	420	416	286
73	325042	110042		325042		110042		510042	410042	210026	59952	700	425	419	288
74	126042	126042		311042	211042	111042	411042	511029			61162	700	430	422	288
75	325043		110043	110043	210043	325043	210043		510032		64231	800	435	425	291
76	226043		111043	111043	511043	226043	511043	411035			64403	800	440	428	291
77	125044			310044	210044	125044	510044		210044	410038	68166	900	445	431	293
78	426044			511044	426044	211044		511044	411044	211041	68737	900	450	434	293
79	525045	310045	110045	110045	210045	210043		525045	410023		77059	1000	455	437	296
80	126045	126045	111045	111045	211045	411045		211045	511026		79097	1000	460	440	296
81	125046	310046		310046	210046	125046	510046		210046	410029	84318	1100	465	443	298
82	226046	111046	111046	111046	211046	226046	511046	411032			85332	1100	470	446	298
83	325047	110047	110047	325047	410047	210047	210047			210035	89227	1200	475	449	300
84	426047	111047	111047	111047	311047	211047	211038	426047			90352	1200	480	452	300
85	225048	310048	110048	110048	210048	210048		225048	410041		95486	1300	485	455	303
86	126048	126048	111048	111048	411048	211048		211048	511043		95929	1300	490	458	303
87	425049	110049	110049	110049	510049	425049	210049	410045			98773	1400	495	461	305
88	326049	326049	111049	111049	211049	411049	211049		511047		102003	1400	500	464	305
89	225050	110050	110050	110050	310050	210050	210050	225050			110206	1500	505	467	308
90	326050	311050	111050	111050	211050	211050		326050	411050		109915	1500	510	470	308
91	125051	125051	110051	110051	310051	410051		210051	410051		113223	1600	515	473	310
92	226051	111051	111051	111051	511051	226051	411051	411051			113081	1600	520	476	310
93	325052	310052	110052	110052	210052	325052	210052		510052		119049	1700	525	479	312
94	426052	111052	311052	111052	311052	211052	411052	426052			116686	1700	530	482	312
95	125053	310053	110053	110053	210053	210053		125053	410053		124920	1800	535	485	315
96	126053	111053	111053	126053		411053	211053		511053	411053	123872	1800	540	488	315
97	225054	110054	110054	110054	510054	225054	510054	410054			126868	1900	545	491	317
98	326054	111054	111054	311054	211054	326054	211054		411054		128718	1900	550	494	317
99	525055	110055	110055	310055	310055	410055	210055	525055			139185	2000	555	497	320
100	126055	126055	111055	111055	211055	411055		211055	511055		139638	2000	560	500	320
101	125056	110056	125056		210056	210056	310056		410056	410056	146487	2100	565	503	322
102	226056	311056			226056	111056	111056	211056	411056	211056	148274	2100	570	506	322
103	425057	310057	310057	110057	210057	425057		210057	410057		149371	2200	575	509	324
104	126057	111057	126057		511057	211057	311057		411057	411057	150517	2200	580	512	324
105	225058	110058	310058	110058	225058	510058		210058	410058		154609	2300	585	515	327
106	426058	111058	111058	311058	311058		211058	426058		411058	153319	2300	590	518	327
107	325059		310059	325059	510059	210059	510059	410059		410059	161739	2400	595	521	329
108	126059		311059	126059	111059	511059	211059		411059	211059	163846	2400	600	524	329
109	325060	325060	110060	110060	210060		510060	210060		410060	172719	2500	605	527	332
110	326060	311060	326060	311060	411060	311060	211060		411060		172949	2500	610	530	332
111	425061		110061	110061		310061	410061	510061	425061	210061	175619	2600	615	533	334
112	326061	326061	511061	111061	311061	311061	311061		411061		180315	2600	620	536	334
113	125062	110062	125062	310062	210062	210062	310062			210062	185353	2700	625	539	336
114	326062		111062	111062		211062	411062	326062	211062	511062	183791	2700	630	542	336
115	125063	125063		310063	210063	110063	510063	210063		410063	188603	2800	635	545	339
116	126063	126063		111063	411063	311063	211063	511063		211063	189427	2800	640	548	339
117	325064	110064		110064	210064	325064	210064	410064	510064		199102	2900	645	551	341
118	326064		111064		111064	411064	326064	211064	211064	211064	200342	2900	650	554	341
119	525065	110065	310065	110065	310065	210065	310065		525065		211157	3000	655	557	344
120	326065	311065	326065	111065		411065		411065	511065	211065	208019	3000	660	560	344
121	125066	125066		110066	410066	310066	210066	510066		210066	217680	3000	665	563	346
122	126066	126066		111066	411066	311066	211066	511066		211066	218813	3000	670	566	346
123	225067	225067		110067	410067	310067	210067	510067		210067	224271	3000	675	569	348
124	126067	126067		111067	411067	311067	211067	511067		211067	225942	3000	680	572	348
125	425068	425068		110068	410068	310068	210068	510068		210068	227865	3000	685	575	351
126	326068	326068		111068	411068	311068	211068	511068		211068	233864	3000	690	578	351
127	425069	425069		110069	410069	310069	210069	510069		210069	240809	3000	695	581	353
128	126069	126069		111069	411069	311069	211069	511069		211069	247021	3000	700	584	353
129	325070	325070		110070	410070	310070	210070	510070		210070	264125	3000	705	587	356
130	426070	426070		111070	411070	311070	211070	511070		211070	259439	3000	710	590	356
131	225071	225071		110071	410071	310071	210071	510071		210071	273237	3000	715	593	358
132	126071	126071		111071	411071	311071	211071	511071		211071	275667	3000	720	596	358
133	125072	125072		110072	410072	310072	210072	510072		210072	279877	3000	725	599	360
134	426072	426072		111072	411072	311072	211072	511072		211072	275262	3000	730	602	360
135	125073	125073		110073	410073	310073	210073	510073		210073	288911	3000	735	605	363
136	326073	326073		111073	411073	311073	211073	511073		211073	290778	3000	740	608	363
137	225074	225074		110074	410074	310074	210074	510074		210074	307355	3000	745	611	365
138	126074	126074		111074	411074	311074	211074	511074		211074	310348	3000	750	614	365
139	525075	525075		110075	410075	310075	210075	510075		210075	322439	3000	753	615	368
140	126075	126075		111075	411075	311075	211075	511075		211075	324719	3000	756	616	368
141	125076	125076		110076	410076	310076	210076	510076		210076	337939	4000	759	617	370
142	426076	426076		111076	411076	311076	211076	511076		211076	331937	4000	762	618	370
143	325077	325077		110077	410077	310077	210077	510077		210077	347426	5000	765	619	372
144	226077	226077		111077	411077	311077	211077	511077		211077	347208	5000	768	620	372
145	325078	325078		110078	410078	310078	210078	510078		210078	355375	5600	771	621	375
146	426078	426078		111078	411078	311078	211078	511078		211078	348023	5600	774	622	375
147	125079	125079		110079	410079	310079	210079	510079		210079	378404	5700	777	623	377
148	326079	326079		111079	411079	311079	211079	511079		211079	380570	5800	780	624	377
149	225080	225080		110080	410080	310080	210080	510080		210080	399101	5900	783	625	380
150	126080	126080		111080	411080	311080	211080	511080		211080	403940	6000	786	626	380
151	325081	325081		110081	410081	310081	210081	510081		210081	414216	6100	789	627	382
152	526081	526081		111081	411081	311081	211081	511081		211081	418077	6200	792	628	382
153	325082	325082		110082	410082	310082	210082	510082		210082	427785	6300	795	629	384
154	226082	226082		111082	411082	311082	211082	511082		211082	427887	6400	798	630	384
155	325083	325083		110083	410083	310083	210083	510083		210083	438348	6500	801	631	387
156	126083	126083		111083	411083	311083	211083	511083		211083	441042	6600	804	632	387
157	425084	425084		110084	410084	310084	210084	510084		210084	455848	6700	807	633	389
158	226084	226084		111084	411084	311084	211084	511084		211084	469009	6800	810	634	389
